Datum;Tag;Monat;Jahr;Standort;Produkthauptgruppe;Produktgruppe;Menge
2002-01-01;1;1;2002;BY;Schreibwaren;Papier;10
2002-01-01;1;1;2002;BW;Schreibwaren;Stifte;1
2002-01-01;1;1;2002;RP;Lebensmittel;Gebäck;12
2002-01-01;1;1;2002;BY;Lebensmittel;Gebäck;1
2002-01-01;1;1;2002;BY;Schreibwaren;Stifte;8
2002-01-02;2;1;2002;RP;Zeitschriften;Tageszeitung;4
2002-01-02;2;1;2002;BW;Schreibwaren;Stifte;12
2002-01-02;2;1;2002;BW;Zeitschriften;Tageszeitung;11
2002-01-02;2;1;2002;RP;Lebensmittel;Gebäck;5
2002-01-03;3;1;2002;BY;Lebensmittel;Süsses;1
2002-01-03;3;1;2002;BW;Schreibwaren;Papier;11
2002-01-03;3;1;2002;BY;Zeitschriften;Tageszeitung;10
2002-01-03;3;1;2002;HS;Schreibwaren;Stifte;9
2002-01-04;4;1;2002;RP;Schreibwaren;Papier;10
2002-01-04;4;1;2002;BW;Lebensmittel;Gebäck;9
2002-01-04;4;1;2002;BW;Schreibwaren;Stifte;10
2002-01-04;4;1;2002;RP;Schreibwaren;Papier;9
2002-01-04;4;1;2002;BW;Schreibwaren;Papier;11
2002-01-04;4;1;2002;RP;Zeitschriften;Magazin;11
2002-01-04;4;1;2002;RP;Schreibwaren;Papier;11
2002-01-04;4;1;2002;BY;Schreibwaren;Papier;7
2002-01-05;5;1;2002;RP;Schreibwaren;Papier;10
2002-01-05;5;1;2002;HS;Zeitschriften;Tageszeitung;12
2002-01-05;5;1;2002;BY;Zeitschriften;Tageszeitung;13
2002-01-05;5;1;2002;HS;Zeitschriften;Magazin;6
2002-01-06;6;1;2002;RP;Schreibwaren;Stifte;3
2002-01-06;6;1;2002;BW;Lebensmittel;Süsses;7
2002-01-06;6;1;2002;RP;Lebensmittel;Gebäck;6
2002-01-06;6;1;2002;HS;Lebensmittel;Süsses;3
2002-01-06;6;1;2002;HS;Zeitschriften;Magazin;5
2002-01-06;6;1;2002;HS;Zeitschriften;Tageszeitung;10
2002-01-06;6;1;2002;HS;Zeitschriften;Magazin;1
2002-01-06;6;1;2002;BY;Zeitschriften;Magazin;3
2002-01-06;6;1;2002;BY;Lebensmittel;Gebäck;2
2002-01-07;7;1;2002;RP;Zeitschriften;Magazin;7
2002-01-07;7;1;2002;HS;Zeitschriften;Tageszeitung;1
2002-01-07;7;1;2002;BY;Lebensmittel;Süsses;12
2002-01-07;7;1;2002;BY;Zeitschriften;Magazin;4
2002-01-07;7;1;2002;BW;Lebensmittel;Süsses;7
2002-01-08;8;1;2002;HS;Lebensmittel;Gebäck;12
2002-01-08;8;1;2002;BW;Schreibwaren;Stifte;8
2002-01-08;8;1;2002;HS;Zeitschriften;Magazin;2
2002-01-08;8;1;2002;RP;Schreibwaren;Papier;10
2002-01-08;8;1;2002;BW;Schreibwaren;Stifte;6
2002-01-08;8;1;2002;HS;Zeitschriften;Magazin;3
2002-01-08;8;1;2002;RP;Schreibwaren;Stifte;9
2002-01-09;9;1;2002;BY;Lebensmittel;Gebäck;12
2002-01-09;9;1;2002;BW;Lebensmittel;Süsses;4
2002-01-09;9;1;2002;HS;Schreibwaren;Papier;3
2002-01-09;9;1;2002;BW;Zeitschriften;Tageszeitung;11
2002-01-09;9;1;2002;HS;Lebensmittel;Gebäck;7
2002-01-09;9;1;2002;BW;Schreibwaren;Stifte;8
2002-01-09;9;1;2002;RP;Lebensmittel;Süsses;8
2002-01-09;9;1;2002;RP;Zeitschriften;Magazin;5
2002-01-09;9;1;2002;HS;Zeitschriften;Magazin;7
2002-01-09;9;1;2002;RP;Lebensmittel;Süsses;4
2002-01-09;9;1;2002;HS;Lebensmittel;Süsses;4
2002-01-09;9;1;2002;RP;Zeitschriften;Tageszeitung;2
2002-01-09;9;1;2002;BY;Lebensmittel;Gebäck;10
2002-01-10;10;1;2002;HS;Zeitschriften;Magazin;5
2002-01-10;10;1;2002;BY;Zeitschriften;Magazin;8
2002-01-10;10;1;2002;RP;Zeitschriften;Magazin;10
2002-01-11;11;1;2002;BY;Lebensmittel;Süsses;8
2002-01-11;11;1;2002;HS;Zeitschriften;Magazin;13
2002-01-11;11;1;2002;HS;Lebensmittel;Süsses;3
2002-01-11;11;1;2002;BY;Lebensmittel;Süsses;12
2002-01-11;11;1;2002;BW;Schreibwaren;Papier;8
2002-01-12;12;1;2002;RP;Lebensmittel;Gebäck;3
2002-01-12;12;1;2002;BW;Zeitschriften;Magazin;2
2002-01-12;12;1;2002;BY;Zeitschriften;Tageszeitung;1
2002-01-12;12;1;2002;HS;Lebensmittel;Gebäck;4
2002-01-12;12;1;2002;RP;Zeitschriften;Tageszeitung;8
2002-01-12;12;1;2002;BW;Lebensmittel;Süsses;1
2002-01-12;12;1;2002;HS;Zeitschriften;Tageszeitung;8
2002-01-13;13;1;2002;BY;Schreibwaren;Stifte;7
2002-01-14;14;1;2002;RP;Zeitschriften;Tageszeitung;13
2002-01-14;14;1;2002;BY;Zeitschriften;Tageszeitung;2
2002-01-14;14;1;2002;BY;Lebensmittel;Süsses;3
2002-01-14;14;1;2002;BY;Zeitschriften;Magazin;6
2002-01-14;14;1;2002;BW;Zeitschriften;Magazin;13
2002-01-15;15;1;2002;RP;Schreibwaren;Papier;5
2002-01-15;15;1;2002;HS;Zeitschriften;Magazin;2
2002-01-15;15;1;2002;RP;Schreibwaren;Papier;2
2002-01-15;15;1;2002;HS;Zeitschriften;Tageszeitung;8
2002-01-15;15;1;2002;BY;Zeitschriften;Magazin;4
2002-01-15;15;1;2002;HS;Schreibwaren;Papier;10
2002-01-16;16;1;2002;BY;Lebensmittel;Gebäck;3
2002-01-16;16;1;2002;HS;Zeitschriften;Magazin;11
2002-01-16;16;1;2002;BW;Lebensmittel;Süsses;10
2002-01-17;17;1;2002;BY;Lebensmittel;Gebäck;8
2002-01-17;17;1;2002;BY;Zeitschriften;Tageszeitung;12
2002-01-18;18;1;2002;HS;Lebensmittel;Süsses;11
2002-01-18;18;1;2002;RP;Zeitschriften;Magazin;10
2002-01-18;18;1;2002;RP;Schreibwaren;Papier;2
2002-01-18;18;1;2002;RP;Lebensmittel;Süsses;6
2002-01-18;18;1;2002;BY;Zeitschriften;Tageszeitung;6
2002-01-18;18;1;2002;BW;Zeitschriften;Magazin;7
